Fashion Week,Topic,Day,Mentions,Impressions,Engagements
1,Emergingtalent,19,41,38875,3
1,Heritage,1,137,284423,2
1,Heritage,2,107,735299,4
1,Heritage,3,124,2259961,16
1,Heritage,4,191,1134280,7
1,Heritage,5,159,1047828,107
1,Heritage,6,137,279832,15
1,Heritage,7,199,1612066,37
1,Heritage,8,305,1887741,39
1,Heritage,9,509,2593701,29
1,Heritage,10,287,3508474,28
1,Heritage,11,601,2335220,176
1,Heritage,12,458,3187257,54
1,Heritage,13,346,2147360,32
1,Heritage,14,236,1472502,78
1,Heritage,15,158,636319,39
1,Heritage,16,85,451653,23
1,Heritage,17,86,863430,37
1,Heritage,18,172,1372533,7
1,Heritage,19,236,552776,3
1,Modelhealth,1,19,102784,1
1,Modelhealth,2,20,176469,0
1,Modelhealth,3,27,920812,4
1,Modelhealth,4,85,558688,4
1,Modelhealth,5,40,368572,1
1,Modelhealth,6,36,474314,1
1,Modelhealth,7,29,80812,2
1,Modelhealth,8,67,782582,11
1,Modelhealth,9,47,943850,0
1,Modelhealth,10,37,486887,1
1,Modelhealth,11,71,582072,8
1,Modelhealth,12,84,1165567,12
1,Modelhealth,13,58,828159,5
1,Modelhealth,14,45,473911,2
1,Modelhealth,15,36,142039,0
1,Modelhealth,16,19,204692,0
1,Modelhealth,17,16,125486,0
1,Modelhealth,18,23,1603177,1
1,Modelhealth,19,23,102425,3
1,Personalisation,1,72,59167,1
1,Personalisation,2,46,110563,0
1,Personalisation,3,33,268084,3
1,Personalisation,4,54,398705,2
1,Personalisation,5,58,282866,4
1,Personalisation,6,64,352499,2
1,Personalisation,7,94,473976,13
1,Personalisation,8,119,619425,38
1,Personalisation,9,125,1830451,31
1,Personalisation,10,471,3912708,319
1,Personalisation,11,578,3239744,139
1,Personalisation,12,305,5593708,197
1,Personalisation,13,214,2729448,93
1,Personalisation,14,127,1691927,751
1,Personalisation,15,77,513233,308
1,Personalisation,16,58,486834,65
1,Personalisation,17,50,415277,26
1,Personalisation,18,120,1313289,21
1,Personalisation,19,58,285367,16
2,Sustainability,1,66,26484,8
2,Sustainability,2,74,156557,11
2,Sustainability,3,103,43472,23
2,Sustainability,4,103,170341,29
2,Sustainability,5,705,1534007,120
2,Sustainability,6,410,232320,254
2,Sustainability,7,142,73890,59
2,Sustainability,8,217,1638184,184
2,Sustainability,9,202,624922,213
2,Sustainability,10,357,3069090,693
2,Sustainability,11,233,1896114,375
2,Sustainability,12,232,1464559,144
2,Sustainability,13,230,973270,90
2,Sustainability,14,123,137450,62
2,Sustainability,15,82,90011,29
2,Sustainability,16,58,38420,24
2,Sustainability,17,41,232788,13
2,Sustainability,18,44,414809,15
2,Sustainability,19,29,133415,8
2,Luxury,1,64,54525,3
2,Luxury,2,38,269069,2
2,Luxury,3,40,139240,5
2,Luxury,4,53,262108,5
2,Luxury,5,68,1110809,34
2,Luxury,6,82,170767,30
2,Luxury,7,99,685296,13
2,Luxury,8,142,1805654,98
2,Luxury,9,148,1494529,71
2,Luxury,10,279,3162744,105
2,Luxury,11,155,1103540,28
2,Luxury,12,135,1481150,22
2,Luxury,13,122,433741,25
2,Luxury,14,102,705030,13
