Fashion Week,North America,"South America, Central America, and Caribbean",UK,Europe (not UK),Africa ,Middle East,Asia (not Middle East),Oceania
FW1 Baseline ,0.12073349256491257,0.029278064565837127,0.4418676323291471,0.20633330765082059,0.013406271669620155,0.027274828569227215,0.1426920409892904,0.018414361661144928
LFW February 2017,0.12827225130890052,0.028272251308900525,0.45287958115183247,0.1769633507853403,0.0193717277486911,0.025130890052356,0.1586387434554974,0.010471204188481676
LFW February 2017,0.12939521800281295,0.01969057665260197,0.42053445850914206,0.22855133614627285,0.014064697609001406,0.03234880450070324,0.13431786216596342,0.02109704641350211
LFW February 2017,0.10933806146572105,0.02304964539007092,0.49113475177304966,0.21749408983451538,0.00591016548463357,0.024231678486997636,0.11347517730496454,0.015366430260047281
LFW February 2017,0.103844454264251,0.023862129916040652,0.5055236411842686,0.20238621299160406,0.015024304021210782,0.0273972602739726,0.1104728236853734,0.011489173663278833
LFW February 2017,0.09479865771812081,0.02348993288590604,0.5197147651006712,0.16820469798657717,0.02097315436241611,0.031879194630872486,0.12374161073825503,0.017197986577181208
LFW February 2017,0.10346420323325635,0.017551963048498844,0.5344110854503464,0.1879907621247113,0.012009237875288684,0.017090069284064664,0.11639722863741339,0.011085450346420323
LFW February 2017,0.17617689015691868,0.019971469329529243,0.4964336661911555,0.15406562054208273,0.01925820256776034,0.019971469329529243,0.09950071326676177,0.014621968616262483
LFW February 2017,0.10121310881767155,0.028788701792504073,0.5393807713199348,0.17399963787796488,0.013579576317218903,0.031866739091073695,0.09741082744885027,0.013760637334781821
LFW February 2017,0.08636363636363636,0.020117845117845118,0.5464646464646464,0.20075757575757575,0.014730639730639731,0.02255892255892256,0.08762626262626262,0.02138047138047138
LFW February 2017,0.08880053015241882,0.02105016957081043,0.5084005769305734,0.21389311191673488,0.017268935407164853,0.030522745877675124,0.10018321443885705,0.019880715705765408
LFW February 2017,0.10346975088967972,0.028084223013048637,0.4931791221826809,0.192141162514828,0.02227164887307236,0.026008303677342824,0.11343416370106761,0.02141162514827995
LFW February 2017,0.13687073892982576,0.027029818882997037,0.4629846429309276,0.1865573996281248,0.021486123545210387,0.02413745609806487,0.11448936023689829,0.026444459747951243
LFW February 2017,0.21010990890818115,0.021169225505709276,0.44211606722832825,0.1699952957276654,0.02476157892485994,0.0214685882906385,0.09301629388872258,0.017363041525894882
LFW February 2017,0.11860081866992717,0.026154909361543778,0.44994949763436287,0.20525224602626124,0.02062622933390038,0.02642071128594971,0.1283823294880655,0.024613258199989368
LFW February 2017,0.10259215620265949,0.029119676822083825,0.4479885541154688,0.21267463390001684,0.02011445884531224,0.0289513549907423,0.1355832351455984,0.022975929978118162
LFW February 2017,0.12827263419628493,0.03393301155477549,0.4026619862512798,0.22787772414801813,0.016966505777387744,0.037150797133245574,0.12110574813514699,0.03203159280386134
LFW February 2017,0.1174264850996645,0.02545885139135583,0.4249062561673574,0.23090586145648312,0.014406946911387409,0.0321689362541938,0.12472863627392934,0.029998026445628576
LFW February 2017,0.10406043437204911,0.0226628895184136,0.4817752596789424,0.18677998111425873,0.0169971671388102,0.028517469310670444,0.1376770538243626,0.02152974504249292
LFW February 2017,0.11901789429879317,0.021015397419891804,0.4409071993341656,0.1820640865584686,0.013940907199334166,0.0299625468164794,0.1674989596337911,0.025593008739076155
FW2 Baseline,0.1255031342791158,0.03048498845265589,0.3819201583635764,0.22461233916199275,0.021577037281425272,0.02678983833718245,0.15433850214450678,0.0347740019795447
LFW September 2017,0.12236789829161701,0.02820818434644418,0.4362336114421931,0.19308700834326578,0.021056813667063964,0.018275725069527213,0.1521652761223679,0.028605482717520857
LFW September 2017,0.1445887445887446,0.0316017316017316,0.38441558441558443,0.21082251082251083,0.022510822510822513,0.032034632034632034,0.14632034632034632,0.027705627705627706
LFW September 2017,0.13614262560777957,0.02593192868719611,0.406807131280389,0.21110210696920584,0.01985413290113452,0.02957860615883306,0.13492706645056726,0.03565640194489465
LFW September 2017,0.12855209742895804,0.02943166441136671,0.4242219215155616,0.18910690121786197,0.016576454668470908,0.028416779431664412,0.16001353179972935,0.02368064952638701
LFW September 2017,0.1028770706190061,0.021795989537925022,0.42603894216797444,0.26503923278116825,0.020924149956408022,0.025864574251671026,0.11566405114792211,0.021795989537925022
LFW September 2017,0.16962962962962963,0.025185185185185185,0.4301234567901235,0.1948148148148148,0.016790123456790124,0.020246913580246915,0.12320987654320988,0.02
LFW September 2017,0.1799480726982225,0.022168963451168363,0.44857199920111845,0.1743559017375674,0.01817455562212902,0.024965048931495905,0.1134411823447174,0.018374276013580985
LFW September 2017,0.12834899705428532,0.022724084724365268,0.47355870388553795,0.2330621405526722,0.020199186421658015,0.02665170430635433,0.07602749333707393,0.01942768971805302
LFW September 2017,0.15495703021174803,0.022149375387614068,0.428546114999557,0.2070080623726411,0.02197218038451316,0.030787631788783555,0.10427925932488703,0.030300345530256047
LFW September 2017,0.20780795344325897,0.02061105722599418,0.39395408988037506,0.18364047849983833,0.022389266084707402,0.032465782950749006,0.11431727556848799,0.02481409634658907
LFW September 2017,0.12865793550204196,0.025968173496690606,0.4827770736515984,0.20059146599070554,0.015321785663990986,0.02402478524151528,0.09711308266441346,0.025545697789043798
LFW September 2017,0.16458991357467634,0.026378813647565166,0.4388948665440283,0.19548089271458818,0.01620908680712228,0.02516399986116414,0.10405747804657943,0.029224948804276143
LFW September 2017,0.15576986542481025,0.024238201752777674,0.4384877708921565,0.2068864361409556,0.017417769792086833,0.023394815004950314,0.11140038869128378,0.02240475230097906
LFW September 2017,0.14938030006523156,0.026393697626574338,0.4154247578905113,0.217923628882533,0.017712880726579356,0.0262431632294646,0.11907270811380401,0.027848863465301823
